retailer_id,image_url,filename
SSNL045,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL045.jpg,SSNL045.jpg
SSNL038,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL038.jpg,SSNL038.jpg
SSNL041,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSNL041.jpg,SSNL041.jpg
SSRI001,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSRI001.jpg,SSRI001.jpg
SSSE441,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSSE441.jpg,SSSE441.jpg
SSSE437,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSSE437.jpg,SSSE437.jpg
SSSE438,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSSE438.jpg,SSSE438.jpg
SSSE440,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSSE440.jpg,SSSE440.jpg
SSSE442,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/SSSE442.jpg,SSSE442.jpg
TITA043,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA043.jpg,TITA043.jpg
TITA045,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA045.jpg,TITA045.jpg
TITA049,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA049.jpg,TITA049.jpg
TITA051,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA051.jpg,TITA051.jpg
TITA048,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA048.jpg,TITA048.jpg
TITA047,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/TITA047.jpg,TITA047.jpg
VEER118,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/VEER118.jpg,VEER118.jpg
VEER117,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/VEER117.jpg,VEER117.jpg
VEPE027,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/VEPE027.jpg,VEPE027.jpg
VLGE003,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/VLGE003.jpg,VLGE003.jpg
WEBS237,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/WEBS237.jpg,WEBS237.jpg
WEBS238,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/WEBS238.jpg,WEBS238.jpg
XBLT302,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/XBLT302.jpg,XBLT302.jpg
XBLT301,https://www.warrenjames.co.uk/_assets/images/products/images_grey/1000/XBLT301.jpg,XBLT301.jpg
